,Sentence #,Word,Pos,Tag
0,Sentence 0,what,WP,O
1,Sentence 0,is,VBZ,O
2,Sentence 0,the,DT,O
3,Sentence 0,cost,NN,O
4,Sentence 0,of,IN,O
5,Sentence 0,a,DT,O
6,Sentence 0,round,NN,B-round_trip
7,Sentence 0,trip,NN,I-round_trip
8,Sentence 0,flight,NN,O
9,Sentence 0,from,IN,O
10,Sentence 0,pittsburgh,NN,B-fromloc
11,Sentence 0,to,TO,O
12,Sentence 0,atlanta,VB,B-toloc
13,Sentence 0,beginning,VBG,O
14,Sentence 0,on,IN,O
15,Sentence 0,april,JJ,B-depart_date.month_name
16,Sentence 0,twenty,NN,B-depart_date.day_number
17,Sentence 0,fifth,NN,I-depart_date.day_number
18,Sentence 0,and,CC,O
19,Sentence 0,returning,VBG,O
20,Sentence 0,on,IN,O
21,Sentence 0,may,MD,B-return_date.month_name
22,Sentence 0,sixth,VB,B-return_date.day_number
23,Sentence 1,now,RB,O
24,Sentence 1,i,VBP,O
25,Sentence 1,need,VBP,O
26,Sentence 1,a,DT,O
27,Sentence 1,flight,NN,O
28,Sentence 1,leaving,VBG,O
29,Sentence 1,fort,NN,B-fromloc
30,Sentence 1,worth,NN,I-fromloc
31,Sentence 1,and,CC,O
32,Sentence 1,arriving,VBG,O
33,Sentence 1,in,IN,O
34,Sentence 1,denver,NN,B-toloc
35,Sentence 1,no,RB,B-arrive_time.time_relative
36,Sentence 1,later,RB,I-arrive_time.time_relative
37,Sentence 1,than,IN,I-arrive_time.time_relative
38,Sentence 1,2,CD,B-arrive_time.time
39,Sentence 1,pm,JJ,I-arrive_time.time
40,Sentence 1,next,JJ,B-arrive_date.date_relative
41,Sentence 1,monday,NN,B-arrive_date.day_name
42,Sentence 2,i,NNS,O
43,Sentence 2,need,VBP,O
44,Sentence 2,to,TO,O
45,Sentence 2,fly,VB,O
46,Sentence 2,from,IN,O
47,Sentence 2,kansas,JJ,B-fromloc
48,Sentence 2,city,NN,I-fromloc
49,Sentence 2,to,TO,O
50,Sentence 2,chicago,VB,B-toloc
51,Sentence 2,leaving,VBG,O
52,Sentence 2,next,JJ,B-depart_date.date_relative
53,Sentence 2,wednesday,NN,B-depart_date.day_name
54,Sentence 2,and,CC,O
55,Sentence 2,returning,VBG,O
56,Sentence 2,the,DT,B-return_date.date_relative
57,Sentence 2,following,JJ,I-return_date.date_relative
58,Sentence 2,day,NN,I-return_date.date_relative
59,Sentence 3,what,WP,O
60,Sentence 3,is,VBZ,O
61,Sentence 3,the,DT,O
62,Sentence 3,meaning,NN,O
63,Sentence 3,of,IN,O
64,Sentence 3,meal,NN,B-meal_code
65,Sentence 3,code,NN,I-meal_code
66,Sentence 3,s,NN,I-meal_code
67,Sentence 4,show,VB,O
68,Sentence 4,me,PRP,O
69,Sentence 4,all,DT,O
70,Sentence 4,flights,NNS,O
71,Sentence 4,from,IN,O
72,Sentence 4,denver,NN,B-fromloc
73,Sentence 4,to,TO,O
74,Sentence 4,pittsburgh,VB,B-toloc
75,Sentence 4,which,WDT,O
76,Sentence 4,serve,VBP,O
77,Sentence 4,a,DT,O
78,Sentence 4,meal,NN,B-meal
79,Sentence 4,for,IN,O
80,Sentence 4,the,DT,B-depart_date.today_relative
81,Sentence 4,day,NN,I-depart_date.today_relative
82,Sentence 4,after,IN,I-depart_date.today_relative
83,Sentence 4,tomorrow,NN,I-depart_date.today_relative
84,Sentence 5,show,VB,O
85,Sentence 5,me,PRP,O
86,Sentence 5,all,DT,O
87,Sentence 5,us,PRP,B-airline_name
88,Sentence 5,air,VBP,I-airline_name
89,Sentence 5,flights,NNS,O
90,Sentence 5,from,IN,O
91,Sentence 5,atlanta,NN,B-fromloc
92,Sentence 5,to,TO,O
93,Sentence 5,denver,VB,B-toloc
94,Sentence 5,for,IN,O
95,Sentence 5,the,DT,B-depart_date.today_relative
96,Sentence 5,day,NN,I-depart_date.today_relative
97,Sentence 5,after,IN,I-depart_date.today_relative
98,Sentence 5,tomorrow,NN,I-depart_date.today_relative
99,Sentence 6,list,NN,O
100,Sentence 6,the,DT,O
101,Sentence 6,nonstop,JJ,B-flight_stop
102,Sentence 6,flights,NNS,O
103,Sentence 6,early,RB,B-arrive_time.period_mod
104,Sentence 6,tuesday,JJ,B-arrive_date.day_name
105,Sentence 6,morning,NN,B-arrive_time.period_of_day
106,Sentence 6,from,IN,O
107,Sentence 6,dallas,NN,B-fromloc
108,Sentence 6,to,TO,O
109,Sentence 6,atlanta,VB,B-toloc
110,Sentence 7,show,VB,O
111,Sentence 7,me,PRP,O
112,Sentence 7,the,DT,O
113,Sentence 7,flights,NNS,O
114,Sentence 7,from,IN,O
115,Sentence 7,st.,NN,B-fromloc
116,Sentence 7,petersburg,NN,I-fromloc
117,Sentence 7,to,TO,O
118,Sentence 7,toronto,VB,B-toloc
119,Sentence 7,that,DT,O
120,Sentence 7,arrive,JJ,O
121,Sentence 7,early,JJ,B-arrive_time.period_mod
122,Sentence 7,in,IN,O
123,Sentence 7,the,DT,O
124,Sentence 7,morning,NN,B-arrive_time.period_of_day
125,Sentence 8,i,NNS,O
126,Sentence 8,need,VBP,O
127,Sentence 8,a,DT,O
128,Sentence 8,listing,NN,O
129,Sentence 8,of,IN,O
130,Sentence 8,flights,NNS,O
131,Sentence 8,from,IN,O
132,Sentence 8,new,JJ,B-fromloc
133,Sentence 8,york,NN,I-fromloc
134,Sentence 8,city,NN,I-fromloc
135,Sentence 8,to,TO,O
136,Sentence 8,montreal,VB,B-toloc
137,Sentence 8,canada,NN,B-toloc
138,Sentence 8,departing,VBG,O
139,Sentence 8,thursday,NN,B-depart_date.day_name
140,Sentence 8,in,IN,O
141,Sentence 8,the,DT,O
142,Sentence 8,morning,NN,B-depart_time.period_of_day
143,Sentence 9,show,VB,O
144,Sentence 9,me,PRP,O
145,Sentence 9,the,DT,O
146,Sentence 9,flights,NNS,O
147,Sentence 9,on,IN,O
148,Sentence 9,american,JJ,B-airline_name
149,Sentence 9,airlines,NNS,I-airline_name
150,Sentence 9,which,WDT,O
151,Sentence 9,fly,VBP,O
152,Sentence 9,from,IN,O
153,Sentence 9,st.,NN,B-fromloc
154,Sentence 9,petersburg,NN,I-fromloc
155,Sentence 9,to,TO,O
156,Sentence 9,ontario,VB,B-toloc
157,Sentence 9,canada,NN,B-toloc
158,Sentence 9,with,IN,O
159,Sentence 9,a,DT,O
160,Sentence 9,stopover,NN,O
161,Sentence 9,in,IN,O
162,Sentence 9,st.,NN,B-stoploc
163,Sentence 9,louis,NN,I-stoploc
164,Sentence 10,now,RB,O
165,Sentence 10,show,VBP,O
166,Sentence 10,me,PRP,O
167,Sentence 10,ground,JJ,O
168,Sentence 10,transportation,NN,O
169,Sentence 10,in,IN,O
170,Sentence 10,houston,NN,B-city_name
171,Sentence 10,on,IN,O
172,Sentence 10,monday,JJ,B-day_name
173,Sentence 10,afternoon,NN,B-period_of_day
174,Sentence 11,show,VB,O
175,Sentence 11,me,PRP,O
176,Sentence 11,the,DT,O
177,Sentence 11,ground,NN,O
178,Sentence 11,transportation,NN,O
179,Sentence 11,schedule,NN,O
180,Sentence 11,in,IN,O
181,Sentence 11,philadelphia,NN,B-city_name
182,Sentence 11,in,IN,O
183,Sentence 11,the,DT,O
184,Sentence 11,morning,NN,B-period_of_day
185,Sentence 11,on,IN,O
186,Sentence 11,wednesday,NN,B-day_name
187,Sentence 12,show,VB,O
188,Sentence 12,me,PRP,O
189,Sentence 12,the,DT,O
190,Sentence 12,ground,NN,O
191,Sentence 12,transportation,NN,O
192,Sentence 12,schedule,NN,O
193,Sentence 12,in,IN,O
194,Sentence 12,san,JJ,B-city_name
195,Sentence 12,francisco,NN,I-city_name
196,Sentence 12,on,IN,O
197,Sentence 12,thursday,NN,B-day_name
198,Sentence 12,evening,NN,B-period_of_day
199,Sentence 13,i,NNS,O
200,Sentence 13,need,VBP,O
201,Sentence 13,a,DT,O
202,Sentence 13,flight,NN,O
203,Sentence 13,from,IN,O
204,Sentence 13,toronto,NN,B-fromloc
205,Sentence 13,to,TO,O
206,Sentence 13,san,VB,B-toloc
207,Sentence 13,diego,NN,I-toloc
208,Sentence 13,with,IN,O
209,Sentence 13,a,DT,O
210,Sentence 13,layover,NN,O
211,Sentence 13,in,IN,O
212,Sentence 13,washington,NN,B-stoploc
